Веб-приложение;клиент-серверное приложение, в котором клиент взаимодействует с веб-сервером при помощи браузера. Логика веб-приложения распределена между сервером и клиентом, хранение данных осуществляется, преимущественно, на сервере, обмен информацией происходит по сети.
WebAssembly;бинарный формат, запускаемый в браузере, виртуальная машина, и результат компиляции с языка высокого уровня.
Rust;мультипарадигменный компилируемы язык программирования общего назначения, сочетающий парадигмы функционального и процедурного программирования с объектной системой, основанной на типажах. Управление памятью осуществляется через механизм «владения» с использованием аффинных типов, что позволяет обходиться без системы сборки мусора во время исполнения программы.
JavaScript;мультипарадигменный язык программирования общего назначения, поддерживающий объектно-ориентированный, императивный и функциональный стили и являющийся реализацией спецификации ECMAScript. Наиболее часто используется для создания сценариев в браузере.
TypeScript;язык программирования, представленный Microsoft в 2012 году и позиционируемый как средство разработки веб-приложений, расширяющее возможности JavaScript.
Браузер;программное обеспечение для просмотра веб-страниц, работающая по протоколу http.
Firefox;свободный браузер на движке Quantum, разработкой и распространением которого занимается Mozilla Corporation.
Google Chrome;браузер, разрабатываемый компанией Google на основе свободного браузера Chromium и движка Blink.
HTML (Hypertext Markup Language);стандартизированный язык гипертекстовой разметки документов для просмотра веб-страниц в браузере.
Одностраничное приложение (Single Page Application/SPA);это веб-приложение, использующий единственный HTML-документ как оболочку для всех веб-страниц и организующий взаимодействие с пользователем через динамически подгружаемые HTML, CSS, JavaScript.
Серверный рендеринг (Server Side Rendering/SSR);техника рендеринга одностраничного приложения или сайта на сервере, а не в клиентском браузере.
Клиентский рендеринг (Client Side Rendering/CSR);техника рендеринга одностраничного приложения или сайта непостредственно в браузере.
Веб-клиент;браузер или другая программа работающая по протоколу htt или другая программа работающая по протоколу http.
Веб-сервер;сервер принимающий запросы по протоколу http и/или https от веб-клиентов и выдающий http/https ответы.
Angular;открытая и свободная платформа для разработки веб-приложений, написанная на языке TypeScript, разрабатываемая командой из компании Google, а также сообществом разработчиков из различных компаний. Применяется для создания SPA приложений.
React;JavaScript-библиотека с открытым исходным кодом для разработки пользовательских интерфейсов.
Vue;JavaScript-фреймворк с открытым исходным кодом для создания пользовательских интерфейсов.
Svelte;JavaScript-библиотека с открытм исходным кодом для разработки SPA приложений без использования Virtual DOM.
Объектная модель документа (Document Object Model/DOM);объектная модель документа, представление HTML-документа в виде дерева тегов.
Virtual DOM; представление DOM на языке JavaScript.
API;описание способов взаимодействия одной компьютерной программы с другими.
Первое отображение контента (FCP);время, которое проходит от старта загрузки страницы, до появления первого элемента интерфейса.
Отображение наибольшего контента (LCP);время, которое проходит от старта загрузки страницы, до отображения наибольшего блока текста или изображения.
Время до первого ввода (FID);время, которое проходит от первого взаимодействия пользователя с сайтом (нажатие кнопки, переход по ссылке, использование любого другого элемента управления) до момента, когда сайт в действительности может обработать это действие.
Время отклика (INP);задержка, при нажатии на клавишу, ввода с клавиатуры. Измеряется как наибольшее значении задержки для всех элементов на странице.
Время до интерактивности (TTI);время, которое проходит от начала загрузки страницы до момента, когда страница отобразила все элементы, загрузила все начальные скрипты и готова к дальнейшему взаимодействию.
Общее время блокировки (TBT);время от первого отображения контента до интерактивности.
Суммарное изменение расположения (CLS);суммарная оценка всех неожиданных изменений от начала загрузки страницы, до момента, когда элемент исчезает из видимости
Время до первого байта (TTFB);время, между отправкой запроса и первым полученным байтом
Lighthouse;инструмент автоматической проверки отзывчивости веб-приложения от компании Google.
Yew;веб-фреймворк написанный на языке Rust использующий WebAssembly для построения пользовательских интерфейсов.
Sycamore;веб-фреймворк написанный на языке Rust использующий WebAssembly для построения пользовательских интерфейсов. Отличается отсутствием Virtual DOM.
